epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
71,105.947,0.75004,0.86804,0.98837,0.74099,0.36149,0.43547,0.26307,1.60172,3.05703,1.76925,0.0007532,0.0007532,0.0007532
72,106.558,0.74281,0.88427,0.97222,0.97506,0.5,0.66621,0.3037,1.57057,2.64884,1.71527,0.000754588,0.000754588,0.000754588
73,107.123,0.70146,1.01682,1.02425,0.97506,0.5,0.66621,0.3037,1.57057,2.64884,1.71527,0.000755712,0.000755712,0.000755712
74,107.698,0.71415,0.78385,0.94488,0.97506,0.5,0.66621,0.3037,1.57057,2.64884,1.71527,0.000756572,0.000756572,0.000756572
75,108.44,0.79744,0.92116,1.03509,0.70015,0.58789,0.62282,0.29145,1.50201,2.74952,1.65037,0.000757168,0.000757168,0.000757168
76,109.008,0.67014,0.86488,0.95643,0.70015,0.58789,0.62282,0.29145,1.50201,2.74952,1.65037,0.0007575,0.0007575,0.0007575
77,109.58,0.61966,0.87394,0.91281,0.70015,0.58789,0.62282,0.29145,1.50201,2.74952,1.65037,0.000757568,0.000757568,0.000757568
78,110.191,0.62927,0.82087,0.9386,0.53353,0.5,0.47126,0.15499,1.7567,3.01425,1.82742,0.000757372,0.000757372,0.000757372
79,117.297,0.59594,0.72288,0.92727,0.53353,0.5,0.47126,0.15499,1.7567,3.01425,1.82742,0.000756912,0.000756912,0.000756912
80,117.869,0.71717,0.91667,0.9994,0.53353,0.5,0.47126,0.15499,1.7567,3.01425,1.82742,0.000756188,0.000756188,0.000756188
81,118.48,0.79164,0.98385,1.04284,0.44949,0.5,0.39184,0.17489,1.65481,2.9718,1.77912,0.0007552,0.0007552,0.0007552
82,119.047,0.73412,0.91074,0.98372,0.44949,0.5,0.39184,0.17489,1.65481,2.9718,1.77912,0.000753948,0.000753948,0.000753948
83,119.748,0.80125,0.96142,1.01173,0.44949,0.5,0.39184,0.17489,1.65481,2.9718,1.77912,0.000752432,0.000752432,0.000752432
84,120.355,0.62375,0.95003,0.9825,0.70233,0.375,0.48291,0.24031,1.46631,2.81875,1.68428,0.000750652,0.000750652,0.000750652
85,120.92,0.59343,0.84401,0.93652,0.70233,0.375,0.48291,0.24031,1.46631,2.81875,1.68428,0.000748608,0.000748608,0.000748608
86,121.493,0.68538,0.8153,0.92922,0.70233,0.375,0.48291,0.24031,1.46631,2.81875,1.68428,0.0007463,0.0007463,0.0007463
87,122.059,0.56076,0.81067,0.91758,0.70233,0.375,0.48291,0.24031,1.46631,2.81875,1.68428,0.000743728,0.000743728,0.000743728
88,129.619,0.64,0.85149,0.91626,0.97578,0.5,0.5579,0.27472,1.65924,2.67471,1.73428,0.000740892,0.000740892,0.000740892
89,130.18,0.60241,0.91279,0.95462,0.97578,0.5,0.5579,0.27472,1.65924,2.67471,1.73428,0.000737792,0.000737792,0.000737792
90,130.885,0.79728,0.96195,1.067,0.97578,0.5,0.5579,0.27472,1.65924,2.67471,1.73428,0.000734428,0.000734428,0.000734428
91,131.455,0.64546,0.8783,0.96762,0.97578,0.5,0.5579,0.27472,1.65924,2.67471,1.73428,0.0007308,0.0007308,0.0007308
92,132.084,0.63225,0.77646,0.90201,0.96485,0.5,0.57398,0.35136,1.56711,2.3746,1.59215,0.000726908,0.000726908,0.000726908
93,132.659,0.70156,0.82586,0.96125,0.96485,0.5,0.57398,0.35136,1.56711,2.3746,1.59215,0.000722752,0.000722752,0.000722752
94,133.234,0.58883,0.78383,0.94719,0.96485,0.5,0.57398,0.35136,1.56711,2.3746,1.59215,0.000718332,0.000718332,0.000718332
